h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,0.43620000000000003
0.0,0.9591836734693877,0.0,0.43060000000000004
0.0,0.9387755102040817,0.0,0.43199999999999994
0.0,0.9183673469387755,0.0,0.43920000000000003
0.0,0.8979591836734694,0.0,0.44199999999999995
0.0,0.8775510204081632,0.0,0.43940000000000007
0.0,0.8571428571428572,0.0,0.4482
0.0,0.8367346938775511,0.0,0.4465999999999999
0.0,0.8163265306122449,0.0,0.43700000000000006
0.0,0.7959183673469388,0.0,0.4488
0.0,0.7755102040816326,0.0,0.44380000000000003
0.0,0.7551020408163265,0.0,0.45160000000000006
0.0,0.7346938775510204,0.0,0.43979999999999997
0.0,0.7142857142857143,0.0,0.442
0.0,0.6938775510204083,0.0,0.436
0.0,0.6734693877551021,0.0,0.446
0.0,0.653061224489796,0.0,0.44499999999999995
0.0,0.6326530612244898,0.0,0.42700000000000005
0.0,0.6122448979591837,0.0,0.4428
0.0,0.5918367346938775,0.0,0.45300000000000007
0.0,0.5714285714285714,0.0,0.43860000000000005
0.0,0.5510204081632654,0.0,0.4318
0.0,0.5306122448979592,0.0,0.4664
0.0,0.5102040816326531,0.0,0.4644
0.0,0.4897959183673469,0.0,0.45020000000000004
0.0,0.4693877551020409,0.0,0.43540000000000006
0.0,0.44897959183673475,0.0,0.442
0.0,0.4285714285714286,0.0,0.45439999999999997
0.0,0.40816326530612246,0.0,0.4456
0.0,0.3877551020408164,0.0,0.45380000000000004
0.0,0.3673469387755103,0.0,0.42700000000000005
0.0,0.34693877551020413,0.0,0.4396
0.0,0.326530612244898,0.0,0.4557999999999999
0.0,0.30612244897959184,0.0,0.45160000000000006
0.0,0.2857142857142858,0.0,0.4456
0.0,0.26530612244897966,0.0,0.45019999999999993
0.0,0.24489795918367352,0.0,0.4542
0.0,0.22448979591836737,0.0,0.45480000000000004
0.0,0.20408163265306134,0.0,0.4427999999999999
0.0,0.1836734693877552,0.0,0.4398
0.0,0.16326530612244905,0.0,0.4522
0.0,0.1428571428571429,0.0,0.4402
0.0,0.12244897959183676,0.0,0.4354
0.0,0.10204081632653073,0.0,0.44160000000000005
0.0,0.08163265306122458,0.0,0.456
0.0,0.061224489795918435,0.0,0.44420000000000004
0.0,0.04081632653061229,0.0,0.43440000000000006
0.0,0.020408163265306145,0.0,0.43939999999999996
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.588,0.41200000000000003
0.02040816326530612,0.9591836734693877,0.4981999999999999,0.16479999999999997
0.02040816326530612,0.9387755102040816,0.44079999999999997,0.09660000000000002
0.02040816326530612,0.9183673469387755,0.41519999999999996,0.1444
0.02040816326530612,0.8979591836734694,0.3034,0.19640000000000002
0.02040816326530612,0.8775510204081632,0.42480000000000007,0.1198
0.02040816326530612,0.8571428571428571,0.39779999999999993,0.1528
0.02040816326530612,0.8367346938775511,0.306,0.1974
0.02040816326530612,0.8163265306122449,0.3238,0.19799999999999998
0.02040816326530612,0.7959183673469388,0.38839999999999997,0.14020000000000002
0.02040816326530612,0.7755102040816326,0.3046,0.19759999999999997
0.02040816326530612,0.7551020408163265,0.2942,0.21719999999999998
0.02040816326530612,0.7346938775510203,0.29719999999999996,0.19440000000000002
0.02040816326530612,0.7142857142857143,0.27759999999999996,0.22639999999999996
