h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,0.44060000000000005
0.0,0.9591836734693877,0.0,0.10459999999999998
0.0,0.9387755102040817,0.0,0.1368
0.0,0.9183673469387755,0.0,0.050600000000000006
0.0,0.8979591836734694,0.0,0.053599999999999995
0.0,0.8775510204081632,0.0,0.024399999999999998
0.0,0.8571428571428572,0.0,0.03900000000000001
0.0,0.8367346938775511,0.0,0.0484
0.0,0.8163265306122449,0.0,0.0158
0.0,0.7959183673469388,0.0,0.049400000000000006
0.0,0.7755102040816326,0.0,0.023600000000000003
0.0,0.7551020408163265,0.0,0.027000000000000003
0.0,0.7346938775510204,0.0,0.05459999999999999
0.0,0.7142857142857143,0.0,0.011000000000000001
0.0,0.6938775510204083,0.0,0.032799999999999996
0.0,0.6734693877551021,0.0,0.031199999999999995
0.0,0.653061224489796,0.0,0.0218
0.0,0.6326530612244898,0.0,0.047599999999999996
0.0,0.6122448979591837,0.0,0.07060000000000001
0.0,0.5918367346938775,0.0,0.024000000000000004
0.0,0.5714285714285714,0.0,0.023399999999999997
0.0,0.5510204081632654,0.0,0.0294
0.0,0.5306122448979592,0.0,0.0304
0.0,0.5102040816326531,0.0,0.025999999999999995
0.0,0.4897959183673469,0.0,0.0414
0.0,0.4693877551020409,0.0,0.027399999999999997
0.0,0.44897959183673475,0.0,0.0352
0.0,0.4285714285714286,0.0,0.0562
0.0,0.40816326530612246,0.0,0.017400000000000002
0.0,0.3877551020408164,0.0,0.026799999999999997
0.0,0.3673469387755103,0.0,0.022600000000000002
0.0,0.34693877551020413,0.0,0.031200000000000002
0.0,0.326530612244898,0.0,0.051
0.0,0.30612244897959184,0.0,0.0298
0.0,0.2857142857142858,0.0,0.045599999999999995
0.0,0.26530612244897966,0.0,0.0554
0.0,0.24489795918367352,0.0,0.0208
0.0,0.22448979591836737,0.0,0.017799999999999996
0.0,0.20408163265306134,0.0,0.0436
0.0,0.1836734693877552,0.0,0.0528
0.0,0.16326530612244905,0.0,0.0148
0.0,0.1428571428571429,0.0,0.0158
0.0,0.12244897959183676,0.0,0.0426
0.0,0.10204081632653073,0.0,0.023
0.0,0.08163265306122458,0.0,0.018000000000000002
0.0,0.061224489795918435,0.0,0.011399999999999999
0.0,0.04081632653061229,0.0,0.0082
0.0,0.020408163265306145,0.0,0.003
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.68,0.32
0.02040816326530612,0.9591836734693877,0.6564,0.18
0.02040816326530612,0.9387755102040816,0.6587999999999999,0.1258
0.02040816326530612,0.9183673469387755,0.6084,0.0248
0.02040816326530612,0.8979591836734694,0.5424,0.053399999999999996
0.02040816326530612,0.8775510204081632,0.7798,0.006999999999999999
0.02040816326530612,0.8571428571428571,0.5692,0.055
0.02040816326530612,0.8367346938775511,0.6512,0.0052
0.02040816326530612,0.8163265306122449,0.5778,0.0452
0.02040816326530612,0.7959183673469388,0.6903999999999999,0.009800000000000001
0.02040816326530612,0.7755102040816326,0.6768000000000001,0.022400000000000003
0.02040816326530612,0.7551020408163265,0.7525999999999999,0.0
0.02040816326530612,0.7346938775510203,0.5746,0.0104
0.02040816326530612,0.7142857142857143,0.6574,0.0
0.02040816326530612,0.6938775510204082,0.6652000000000001,0.0034000000000000002
0.02040816326530612,0.6734693877551021,0.59,0.0108
0.02040816326530612,0.653061224489796,0.6744,0.0248
0.02040816326530612,0.6326530612244898,0.6922,0.011200000000000002
0.02040816326530612,0.6122448979591837,0.7252,0.0092
0.02040816326530612,0.5918367346938775,0.7064,0.0028000000000000004
