h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,0.292
0.0,0.9591836734693877,0.0,0.31000000000000005
0.0,0.9387755102040817,0.0,0.27180000000000004
0.0,0.9183673469387755,0.0,0.2892
0.0,0.8979591836734694,0.0,0.293
0.0,0.8775510204081632,0.0,0.307
0.0,0.8571428571428572,0.0,0.3044
0.0,0.8367346938775511,0.0,0.3394
0.0,0.8163265306122449,0.0,0.28539999999999993
0.0,0.7959183673469388,0.0,0.30179999999999996
0.0,0.7755102040816326,0.0,0.3066
0.0,0.7551020408163265,0.0,0.31620000000000004
0.0,0.7346938775510204,0.0,0.30340000000000006
0.0,0.7142857142857143,0.0,0.3034
0.0,0.6938775510204083,0.0,0.2894
0.0,0.6734693877551021,0.0,0.2846
0.0,0.653061224489796,0.0,0.28420000000000006
0.0,0.6326530612244898,0.0,0.28380000000000005
0.0,0.6122448979591837,0.0,0.27699999999999997
0.0,0.5918367346938775,0.0,0.3134
0.0,0.5714285714285714,0.0,0.30519999999999997
0.0,0.5510204081632654,0.0,0.2632
0.0,0.5306122448979592,0.0,0.30179999999999996
0.0,0.5102040816326531,0.0,0.29600000000000004
0.0,0.4897959183673469,0.0,0.289
0.0,0.4693877551020409,0.0,0.3068
0.0,0.44897959183673475,0.0,0.2558
0.0,0.4285714285714286,0.0,0.2824
0.0,0.40816326530612246,0.0,0.28600000000000003
0.0,0.3877551020408164,0.0,0.28620000000000007
0.0,0.3673469387755103,0.0,0.29819999999999997
0.0,0.34693877551020413,0.0,0.31139999999999995
0.0,0.326530612244898,0.0,0.30820000000000003
0.0,0.30612244897959184,0.0,0.319
0.0,0.2857142857142858,0.0,0.284
0.0,0.26530612244897966,0.0,0.26780000000000004
0.0,0.24489795918367352,0.0,0.2916
0.0,0.22448979591836737,0.0,0.2966
0.0,0.20408163265306134,0.0,0.28159999999999996
0.0,0.1836734693877552,0.0,0.29900000000000004
0.0,0.16326530612244905,0.0,0.2852
0.0,0.1428571428571429,0.0,0.2918
0.0,0.12244897959183676,0.0,0.31120000000000003
0.0,0.10204081632653073,0.0,0.3044
0.0,0.08163265306122458,0.0,0.2966
0.0,0.061224489795918435,0.0,0.3018
0.0,0.04081632653061229,0.0,0.31120000000000003
0.0,0.020408163265306145,0.0,0.2778
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.7737999999999998,0.22619999999999998
0.02040816326530612,0.9591836734693877,0.6662,0.11380000000000001
0.02040816326530612,0.9387755102040816,0.5772,0.12000000000000002
0.02040816326530612,0.9183673469387755,0.4023999999999999,0.13899999999999998
0.02040816326530612,0.8979591836734694,0.4492000000000001,0.15720000000000003
0.02040816326530612,0.8775510204081632,0.40559999999999996,0.14780000000000001
0.02040816326530612,0.8571428571428571,0.38280000000000003,0.12319999999999999
0.02040816326530612,0.8367346938775511,0.3504,0.1508
0.02040816326530612,0.8163265306122449,0.3286,0.1864
