h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,0.8058
0.0,0.9591836734693877,0.0,0.5438
0.0,0.9387755102040817,0.0,0.3972
0.0,0.9183673469387755,0.0,0.3736
0.0,0.8979591836734694,0.0,0.1754
0.0,0.8775510204081632,0.0,0.1258
0.0,0.8571428571428572,0.0,0.10000000000000002
0.0,0.8367346938775511,0.0,0.0542
0.0,0.8163265306122449,0.0,0.0298
0.0,0.7959183673469388,0.0,0.0394
0.0,0.7755102040816326,0.0,0.0632
0.0,0.7551020408163265,0.0,0.0482
0.0,0.7346938775510204,0.0,0.038599999999999995
0.0,0.7142857142857143,0.0,0.0262
0.0,0.6938775510204083,0.0,0.05720000000000001
0.0,0.6734693877551021,0.0,0.073
0.0,0.653061224489796,0.0,0.0322
0.0,0.6326530612244898,0.0,0.012199999999999999
0.0,0.6122448979591837,0.0,0.0378
0.0,0.5918367346938775,0.0,0.0228
0.0,0.5714285714285714,0.0,0.0332
0.0,0.5510204081632654,0.0,0.0688
0.0,0.5306122448979592,0.0,0.0358
0.0,0.5102040816326531,0.0,0.0294
0.0,0.4897959183673469,0.0,0.028000000000000004
0.0,0.4693877551020409,0.0,0.0582
0.0,0.44897959183673475,0.0,0.0302
0.0,0.4285714285714286,0.0,0.0538
0.0,0.40816326530612246,0.0,0.049
0.0,0.3877551020408164,0.0,0.0628
0.0,0.3673469387755103,0.0,0.0228
0.0,0.34693877551020413,0.0,0.030600000000000002
0.0,0.326530612244898,0.0,0.028600000000000004
0.0,0.30612244897959184,0.0,0.0464
0.0,0.2857142857142858,0.0,0.0144
0.0,0.26530612244897966,0.0,0.036000000000000004
0.0,0.24489795918367352,0.0,0.047200000000000006
0.0,0.22448979591836737,0.0,0.054000000000000006
0.0,0.20408163265306134,0.0,0.023799999999999998
0.0,0.1836734693877552,0.0,0.056600000000000004
0.0,0.16326530612244905,0.0,0.0208
0.0,0.1428571428571429,0.0,0.0066
0.0,0.12244897959183676,0.0,0.02
0.0,0.10204081632653073,0.0,0.014199999999999999
0.0,0.08163265306122458,0.0,0.011000000000000001
0.0,0.061224489795918435,0.0,0.0
0.0,0.04081632653061229,0.0,0.0
0.0,0.020408163265306145,0.0,0.0074
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.3,0.7
0.02040816326530612,0.9591836734693877,0.16,0.76
0.02040816326530612,0.9387755102040816,0.1,0.7
0.02040816326530612,0.9183673469387755,0.1,0.6262
0.02040816326530612,0.8979591836734694,0.1,0.5022
0.02040816326530612,0.8775510204081632,0.28,0.3906
0.02040816326530612,0.8571428571428571,0.08,0.445
0.02040816326530612,0.8367346938775511,0.28,0.2922
0.02040816326530612,0.8163265306122449,0.2,0.2966
0.02040816326530612,0.7959183673469388,0.22,0.2396
0.02040816326530612,0.7755102040816326,0.16,0.21480000000000005
0.02040816326530612,0.7551020408163265,0.2746,0.15360000000000001
0.02040816326530612,0.7346938775510203,0.23879999999999998,0.1506
0.02040816326530612,0.7142857142857143,0.3442,0.081
0.02040816326530612,0.6938775510204082,0.34,0.062400000000000004
0.02040816326530612,0.6734693877551021,0.38799999999999996,0.06480000000000001
0.02040816326530612,0.653061224489796,0.34,0.0916
0.02040816326530612,0.6326530612244898,0.3766,0.1054
0.02040816326530612,0.6122448979591837,0.4866,0.1016
0.02040816326530612,0.5918367346938775,0.5352,0.049400000000000006
0.02040816326530612,0.5714285714285714,0.42,0.0454
0.02040816326530612,0.5510204081632653,0.429,0.0292
0.02040816326530612,0.5306122448979592,0.4948,0.0158
0.02040816326530612,0.5102040816326531,0.44,0.0052
0.02040816326530612,0.4897959183673469,0.4278,0.017200000000000003
0.02040816326530612,0.4693877551020408,0.39199999999999996,0.015
0.02040816326530612,0.44897959183673475,0.4072,0.05
0.02040816326530612,0.4285714285714286,0.37420000000000003,0.009600000000000001
0.02040816326530612,0.40816326530612246,0.154,0.0294
0.02040816326530612,0.3877551020408163,0.18,0.025200000000000004
0.02040816326530612,0.3673469387755103,0.28,0.0106
0.02040816326530612,0.34693877551020413,0.26,0.0076
0.02040816326530612,0.326530612244898,0.2838,0.0
0.02040816326530612,0.30612244897959184,0.2284,0.0138
0.02040816326530612,0.2857142857142857,0.18,0.0142
0.02040816326530612,0.26530612244897966,0.2,0.027999999999999997
0.02040816326530612,0.24489795918367352,0.06,0.0088
0.02040816326530612,0.22448979591836737,0.1,0.013600000000000001
0.02040816326530612,0.20408163265306123,0.1332,0.0064
0.02040816326530612,0.1836734693877552,0.054000000000000006,0.024799999999999996
0.02040816326530612,0.16326530612244905,0.06,0.0124
0.02040816326530612,0.1428571428571429,0.07400000000000001,0.0
0.02040816326530612,0.12244897959183676,0.11259999999999999,0.0
0.02040816326530612,0.10204081632653061,0.0784,0.0
0.02040816326530612,0.08163265306122458,0.0748,0.0
0.02040816326530612,0.061224489795918435,0.1,0.0
0.02040816326530612,0.04081632653061229,0.1052,0.0
0.02040816326530612,0.020408163265306145,0.1,0.0
0.02040816326530612,0.0,0.214,0.0
0.04081632653061224,0.9591836734693877,0.56,0.44
0.04081632653061224,0.9387755102040816,0.18,0.7672
0.04081632653061224,0.9183673469387754,0.2,0.5326000000000001
0.04081632653061224,0.8979591836734694,0.2656,0.6242
0.04081632653061224,0.8775510204081632,0.31420000000000003,0.5674
0.04081632653061224,0.8571428571428571,0.22,0.40700000000000003
0.04081632653061224,0.836734693877551,0.31299999999999994,0.3972
