gamma,time,basin
0.0,342,2
0.001001001001001001,342,2
0.002002002002002002,341,2
0.003003003003003003,341,2
0.004004004004004004,340,2
0.005005005005005005,339,2
0.006006006006006006,339,2
0.007007007007007007,338,2
0.008008008008008008,338,2
0.009009009009009009,337,2
0.01001001001001001,336,2
0.011011011011011011,336,2
0.012012012012012012,335,2
0.013013013013013013,335,2
0.014014014014014014,334,2
0.015015015015015015,334,2
0.016016016016016016,333,2
0.017017017017017015,332,2
0.018018018018018018,332,2
0.01901901901901902,331,2
0.02002002002002002,331,2
0.02102102102102102,330,2
0.022022022022022022,330,2
0.023023023023023025,329,2
0.024024024024024024,329,2
0.025025025025025023,328,2
0.026026026026026026,328,2
0.02702702702702703,327,2
0.028028028028028028,326,2
0.029029029029029027,326,2
0.03003003003003003,325,2
0.031031031031031032,325,2
0.03203203203203203,324,2
0.03303303303303303,324,2
0.03403403403403403,323,2
0.035035035035035036,323,2
0.036036036036036036,322,2
0.037037037037037035,322,2
0.03803803803803804,321,2
0.03903903903903904,321,2
0.04004004004004004,320,2
0.04104104104104104,320,2
0.04204204204204204,319,2
0.043043043043043044,319,2
0.044044044044044044,318,2
0.04504504504504504,318,2
0.04604604604604605,317,2
0.04704704704704705,317,2
0.04804804804804805,316,2
0.04904904904904905,316,2
0.050050050050050046,315,2
0.05105105105105105,315,2
0.05205205205205205,314,2
0.05305305305305305,314,2
0.05405405405405406,313,2
0.055055055055055056,313,2
0.056056056056056056,312,2
0.057057057057057055,312,2
0.058058058058058054,312,2
0.05905905905905906,311,2
0.06006006006006006,311,2
0.06106106106106106,310,2
0.062062062062062065,310,2
0.06306306306306306,309,2
0.06406406406406406,309,2
0.06506506506506507,308,2
0.06606606606606606,308,2
0.06706706706706707,307,2
0.06806806806806806,307,2
0.06906906906906907,307,2
0.07007007007007007,306,2
0.07107107107107107,306,2
0.07207207207207207,305,2
0.07307307307307308,305,2
0.07407407407407407,304,2
0.07507507507507508,304,2
0.07607607607607608,303,2
0.07707707707707707,303,2
0.07807807807807808,303,2
0.07907907907907907,302,2
0.08008008008008008,302,2
0.08108108108108109,301,2
0.08208208208208208,301,2
0.08308308308308308,300,2
0.08408408408408408,300,2
0.08508508508508508,300,2
0.08608608608608609,299,2
0.08708708708708708,299,2
0.08808808808808809,298,2
0.0890890890890891,298,2
0.09009009009009009,298,2
