h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,1.0
0.0,0.9591836734693877,0.0,1.0
0.0,0.9387755102040817,0.0,1.0
0.0,0.9183673469387755,0.0,1.0
0.0,0.8979591836734694,0.0,1.0
0.0,0.8775510204081632,0.0,0.98
0.0,0.8571428571428572,0.0,0.94
0.0,0.8367346938775511,0.0,0.92
0.0,0.8163265306122449,0.0,0.93
0.0,0.7959183673469388,0.0,0.8696
0.0,0.7755102040816326,0.0,0.7903999999999999
0.0,0.7551020408163265,0.0,0.79
0.0,0.7346938775510204,0.0,0.6494
0.0,0.7142857142857143,0.0,0.56
0.0,0.6938775510204083,0.0,0.38299999999999995
0.0,0.6734693877551021,0.0,0.18
0.0,0.653061224489796,0.0,0.1502
0.0,0.6326530612244898,0.0,0.0
0.0,0.6122448979591837,0.0,0.0634
0.0,0.5918367346938775,0.0,0.0
0.0,0.5714285714285714,0.0,0.0004
0.0,0.5510204081632654,0.0,0.0
0.0,0.5306122448979592,0.0,0.0
0.0,0.5102040816326531,0.0,0.0
0.0,0.4897959183673469,0.0,0.0486
0.0,0.4693877551020409,0.0,0.0196
0.0,0.44897959183673475,0.0,0.018799999999999997
0.0,0.4285714285714286,0.0,0.0
0.0,0.40816326530612246,0.0,0.0086
0.0,0.3877551020408164,0.0,0.0076
0.0,0.3673469387755103,0.0,0.0
0.0,0.34693877551020413,0.0,0.0096
0.0,0.326530612244898,0.0,0.0
0.0,0.30612244897959184,0.0,0.0
0.0,0.2857142857142858,0.0,0.0
0.0,0.26530612244897966,0.0,0.0
0.0,0.24489795918367352,0.0,0.0
0.0,0.22448979591836737,0.0,0.0
0.0,0.20408163265306134,0.0,0.0
0.0,0.1836734693877552,0.0,0.0
0.0,0.16326530612244905,0.0,0.0
0.0,0.1428571428571429,0.0,0.0
0.0,0.12244897959183676,0.0,0.0
0.0,0.10204081632653073,0.0,0.0
0.0,0.08163265306122458,0.0,0.0
0.0,0.061224489795918435,0.0,0.0
0.0,0.04081632653061229,0.0,0.0
0.0,0.020408163265306145,0.0,0.0
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.0,1.0
0.02040816326530612,0.9591836734693877,0.02,0.96
0.02040816326530612,0.9387755102040816,0.06,0.88
0.02040816326530612,0.9183673469387755,0.06,0.88
0.02040816326530612,0.8979591836734694,0.1,0.88
0.02040816326530612,0.8775510204081632,0.04,0.85
0.02040816326530612,0.8571428571428571,0.02,0.7898000000000001
0.02040816326530612,0.8367346938775511,0.02,0.78
0.02040816326530612,0.8163265306122449,0.0,0.5418
0.02040816326530612,0.7959183673469388,0.0,0.359
0.02040816326530612,0.7755102040816326,0.0,0.2796
0.02040816326530612,0.7551020408163265,0.04,0.3176
0.02040816326530612,0.7346938775510203,0.0,0.11
0.02040816326530612,0.7142857142857143,0.0,0.1
0.02040816326530612,0.6938775510204082,0.0,0.039
0.02040816326530612,0.6734693877551021,0.0,0.04
0.02040816326530612,0.653061224489796,0.0,0.030600000000000002
0.02040816326530612,0.6326530612244898,0.0,0.0296
0.02040816326530612,0.6122448979591837,0.0,0.01
0.02040816326530612,0.5918367346938775,0.0,0.009399999999999999
0.02040816326530612,0.5714285714285714,0.0,0.021400000000000002
0.02040816326530612,0.5510204081632653,0.0,0.01
0.02040816326530612,0.5306122448979592,0.0,0.0
0.02040816326530612,0.5102040816326531,0.0,0.006
0.02040816326530612,0.4897959183673469,0.0,0.0328
0.02040816326530612,0.4693877551020408,0.0,0.0388
0.02040816326530612,0.44897959183673475,0.0,0.031400000000000004
0.02040816326530612,0.4285714285714286,0.0,0.0102
0.02040816326530612,0.40816326530612246,0.0,0.0206
0.02040816326530612,0.3877551020408163,0.0,0.0096
0.02040816326530612,0.3673469387755103,0.0,0.02
0.02040816326530612,0.34693877551020413,0.0,0.0092
0.02040816326530612,0.326530612244898,0.0,0.0
0.02040816326530612,0.30612244897959184,0.0,0.005600000000000001
0.02040816326530612,0.2857142857142857,0.0,0.0
0.02040816326530612,0.26530612244897966,0.02,0.0
0.02040816326530612,0.24489795918367352,0.0,0.0
0.02040816326530612,0.22448979591836737,0.0,0.0
0.02040816326530612,0.20408163265306123,0.0,0.0
0.02040816326530612,0.1836734693877552,0.0,0.0
0.02040816326530612,0.16326530612244905,0.0,0.0
0.02040816326530612,0.1428571428571429,0.0,0.0
0.02040816326530612,0.12244897959183676,0.0,0.0
0.02040816326530612,0.10204081632653061,0.02,0.0
0.02040816326530612,0.08163265306122458,0.02,0.0
0.02040816326530612,0.061224489795918435,0.0,0.0
0.02040816326530612,0.04081632653061229,0.0,0.0
0.02040816326530612,0.020408163265306145,0.0,0.0
0.02040816326530612,0.0,0.0,0.0
0.04081632653061224,0.9591836734693877,0.04,0.96
0.04081632653061224,0.9387755102040816,0.14,0.86
0.04081632653061224,0.9183673469387754,0.08,0.88
0.04081632653061224,0.8979591836734694,0.12,0.86
0.04081632653061224,0.8775510204081632,0.14,0.8
0.04081632653061224,0.8571428571428571,0.0,0.7502
0.04081632653061224,0.836734693877551,0.08,0.7003999999999999
0.04081632653061224,0.8163265306122449,0.04,0.46
0.04081632653061224,0.7959183673469388,0.12,0.46
0.04081632653061224,0.7755102040816326,0.06,0.46
0.04081632653061224,0.7551020408163265,0.02,0.2486
0.04081632653061224,0.7346938775510203,0.02,0.08900000000000001
0.04081632653061224,0.7142857142857142,0.02,0.08
0.04081632653061224,0.6938775510204082,0.02,0.1
0.04081632653061224,0.673469387755102,0.0,0.02
0.04081632653061224,0.653061224489796,0.0,0.0108
0.04081632653061224,0.6326530612244898,0.02,0.0
0.04081632653061224,0.6122448979591837,0.0,0.0206
0.04081632653061224,0.5918367346938775,0.0,0.0
0.04081632653061224,0.5714285714285714,0.0,0.0
0.04081632653061224,0.5510204081632653,0.02,0.0092
0.04081632653061224,0.5306122448979591,0.0,0.0
0.04081632653061224,0.5102040816326531,0.02,0.0096
0.04081632653061224,0.4897959183673469,0.0,0.009399999999999999
0.04081632653061224,0.4693877551020408,0.0,0.0212
0.04081632653061224,0.44897959183673464,0.02,0.0
0.04081632653061224,0.4285714285714286,0.0,0.0
0.04081632653061224,0.40816326530612246,0.0,0.0
0.04081632653061224,0.3877551020408163,0.0,0.0
0.04081632653061224,0.36734693877551017,0.0,0.0104
0.04081632653061224,0.34693877551020413,0.0,0.0102
0.04081632653061224,0.326530612244898,0.0,0.0
0.04081632653061224,0.30612244897959184,0.0,0.02
0.04081632653061224,0.2857142857142857,0.0,0.0182
0.04081632653061224,0.26530612244897955,0.0,0.02
0.04081632653061224,0.24489795918367352,0.04,0.0
0.04081632653061224,0.22448979591836737,0.04,0.0098
0.04081632653061224,0.20408163265306123,0.0,0.0
0.04081632653061224,0.18367346938775508,0.0,0.0
0.04081632653061224,0.16326530612244905,0.02,0.0102
0.04081632653061224,0.1428571428571429,0.0,0.0
0.04081632653061224,0.12244897959183676,0.02,0.0
0.04081632653061224,0.10204081632653061,0.02,0.0
0.04081632653061224,0.08163265306122447,0.0,0.0
0.04081632653061224,0.061224489795918435,0.0,0.0
0.04081632653061224,0.04081632653061229,0.02,0.0
0.04081632653061224,0.020408163265306145,0.0,0.0
0.04081632653061224,0.0,0.0,0.0
0.061224489795918366,0.9387755102040817,0.04,0.96
0.061224489795918366,0.9183673469387755,0.22,0.74
0.061224489795918366,0.8979591836734694,0.12,0.88
0.061224489795918366,0.8775510204081634,0.16,0.8
0.061224489795918366,0.8571428571428572,0.16,0.78
0.061224489795918366,0.8367346938775511,0.12,0.72
0.061224489795918366,0.8163265306122449,0.1,0.52
0.061224489795918366,0.7959183673469388,0.22,0.4082
0.061224489795918366,0.7755102040816326,0.02,0.3102
0.061224489795918366,0.7551020408163266,0.1,0.298
0.061224489795918366,0.7346938775510204,0.02,0.1416
0.061224489795918366,0.7142857142857143,0.04,0.12
0.061224489795918366,0.6938775510204082,0.0,0.02
0.061224489795918366,0.6734693877551021,0.02,0.0302
0.061224489795918366,0.653061224489796,0.02,0.0302
0.061224489795918366,0.6326530612244898,0.02,0.0006
0.061224489795918366,0.6122448979591837,0.0,0.0298
0.061224489795918366,0.5918367346938775,0.02,0.0496
0.061224489795918366,0.5714285714285714,0.02,0.0102
0.061224489795918366,0.5510204081632653,0.0,0.0212
0.061224489795918366,0.5306122448979592,0.04,0.025
0.061224489795918366,0.5102040816326531,0.0,0.0102
0.061224489795918366,0.4897959183673469,0.0,0.019
0.061224489795918366,0.46938775510204084,0.0,0.0408
0.061224489795918366,0.4489795918367347,0.0,0.0304
0.061224489795918366,0.4285714285714286,0.04,0.0
0.061224489795918366,0.40816326530612246,0.0,0.0106
0.061224489795918366,0.3877551020408163,0.0,0.0106
0.061224489795918366,0.36734693877551017,0.0,0.0398
0.061224489795918366,0.346938775510204,0.0,0.02
0.061224489795918366,0.326530612244898,0.0,0.0
0.061224489795918366,0.30612244897959184,0.0,0.0096
0.061224489795918366,0.2857142857142857,0.0,0.02
0.061224489795918366,0.26530612244897955,0.0,0.02
0.061224489795918366,0.2448979591836734,0.02,0.02
