h,l,h_eq,l_eq
0.0,1.0,0.0,1.0
0.0,0.9795918367346939,0.0,0.52
0.0,0.9591836734693877,0.0,0.02
0.0,0.9387755102040817,0.0,0.04
0.0,0.9183673469387755,0.0,0.06
0.0,0.8979591836734694,0.0,0.04
0.0,0.8775510204081632,0.0,0.0
0.0,0.8571428571428572,0.0,0.0
0.0,0.8367346938775511,0.0,0.0008
0.0,0.8163265306122449,0.0,0.0
0.0,0.7959183673469388,0.0,0.003
0.0,0.7755102040816326,0.0,0.0036
0.0,0.7551020408163265,0.0,0.0
0.0,0.7346938775510204,0.0,0.0
0.0,0.7142857142857143,0.0,0.0036
0.0,0.6938775510204083,0.0,0.0
0.0,0.6734693877551021,0.0,0.0068000000000000005
0.0,0.653061224489796,0.0,0.0
0.0,0.6326530612244898,0.0,0.0
0.0,0.6122448979591837,0.0,0.0
0.0,0.5918367346938775,0.0,0.0
0.0,0.5714285714285714,0.0,0.0016
0.0,0.5510204081632654,0.0,0.0054
0.0,0.5306122448979592,0.0,0.004
0.0,0.5102040816326531,0.0,0.004
0.0,0.4897959183673469,0.0,0.0022
0.0,0.4693877551020409,0.0,0.0008
0.0,0.44897959183673475,0.0,0.0
0.0,0.4285714285714286,0.0,0.0054
0.0,0.40816326530612246,0.0,0.0
0.0,0.3877551020408164,0.0,0.0
0.0,0.3673469387755103,0.0,0.0074
0.0,0.34693877551020413,0.0,0.0016
0.0,0.326530612244898,0.0,0.0
0.0,0.30612244897959184,0.0,0.0
0.0,0.2857142857142858,0.0,0.0
0.0,0.26530612244897966,0.0,0.0
0.0,0.24489795918367352,0.0,0.0
0.0,0.22448979591836737,0.0,0.0012
0.0,0.20408163265306134,0.0,0.0088
0.0,0.1836734693877552,0.0,0.0
0.0,0.16326530612244905,0.0,0.0
0.0,0.1428571428571429,0.0,0.0
0.0,0.12244897959183676,0.0,0.0024
0.0,0.10204081632653073,0.0,0.0
0.0,0.08163265306122458,0.0,0.0066
0.0,0.061224489795918435,0.0,0.0018
0.0,0.04081632653061229,0.0,0.002
0.0,0.020408163265306145,0.0,0.0
0.0,0.0,0.0,0.0
0.02040816326530612,0.9795918367346939,0.54,0.46
0.02040816326530612,0.9591836734693877,0.52,0.22
0.02040816326530612,0.9387755102040816,0.62,0.1
0.02040816326530612,0.9183673469387755,0.62,0.08
0.02040816326530612,0.8979591836734694,0.54,0.0
0.02040816326530612,0.8775510204081632,0.58,0.044199999999999996
0.02040816326530612,0.8571428571428571,0.66,0.002
0.02040816326530612,0.8367346938775511,0.62,0.0
0.02040816326530612,0.8163265306122449,0.56,0.0032
0.02040816326530612,0.7959183673469388,0.52,0.0
